Gene,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5
"""ACADVL__chr17""",7.09748429180284,3.01771667252281,2.00785343002263,6.07143081403291,7.09748429180284
"""ACAP2__chr3""",1.0019582262109,0,1.0019582262109,6.07143081403291,3.01771667252281
"""ACAP3__chr1""",0,0,0,0,0
"""ACAT1__chr11""",3.01771667252281,0,3.01771667252281,18.6641333268705,0
"""ACAT2__chr6""",0,0,0,0,0
"""ACBD3__chr1""",3.01771667252281,2.00785343002263,5.04947336903132,4.03157938384363,1.0019582262109
"""ACBD4__chr17""",0,0,0,0,0
"""ACBD5__chr10""",0,2.00785343002263,0,1.0019582262109,3.01771667252281
"""ACBD6__chr1""",2.00785343002263,1.0019582262109,0,1.0019582262109,0
"""ACBD7__chr10""",0,0,0,0,0
"""ACCS__chr11""",0,0,0,0,1.0019582262109
"""ACD__chr16""",0,0,1.0019582262109,0,0
"""ACE2__chrX""",0,0,0,0,0
"""ACER2__chr9""",0,0,0,0,4.03157938384363
"""ACER3__chr11""",1.0019582262109,4.03157938384363,0,1.0019582262109,0
"""ACE__chr17""",1.0019582262109,6.07143081403291,0,0,0
"""ACHE__chr7""",0,0,0,0,0
"""ACIN1__chr14""",2.00785343002263,1.0019582262109,0,6.07143081403291,1.0019582262109
"""ACLY__chr17""",6.07143081403291,1.0019582262109,8.12766676853256,34.1840365118778,2.00785343002263
"""ACMSD__chr2""",0,0,0,0,0
"""ACN9__chr7""",0,1.0019582262109,0,0,0
"""ACO1__chr9""",0,0,0,2.00785343002263,0
"""ACO2__chr22""",0,0,0,0,0
"""ACOT11__chr1""",0,0,0,0,0
"""ACOT12__chr5""",0,0,0,0,0
"""ACOT13__chr6""",1.0019582262109,2.00785343002263,1.0019582262109,5.04947336903132,0
"""ACOT1__chr14""",0,0,0,0,0
"""ACOT2__chr14""",0,0,0,0,0
"""ACOT4__chr14""",0,0,0,0,1.0019582262109
"""ACOT7__chr1""",0,1.0019582262109,0,1.0019582262109,0
"""ACOT8__chr20""",0,0,0,0,0
"""ACOT9__chrX""",1.0019582262109,1.0019582262109,0,2.00785343002263,0
"""ACOX1__chr17""",0,0,0,3.01771667252281,14.3973678906563
"""ACOX2__chr3""",0,0,0,0,1.0019582262109
"""ACOX3__chr4""",0,0,0,0,0
"""ACOXL__chr2""",0,0,0,0,0
"""ACP1__chr2""",1.0019582262109,5.04947336903132,0,4.03157938384363,5.04947336903132
"""ACP2__chr11""",0,1.0019582262109,0,1.0019582262109,0
"""ACP5__chr19""",0,0,0,0,0
"""ACP6__chr1""",0,1.0019582262109,0,0,1.0019582262109
"""ACPL2__chr3""",0,0,0,0,0
"""ACPP__chr3""",0,0,0,0,0
"""ACRBP__chr12""",0,0,0,0,0
"""ACRC__chrX""",0,0,0,0,0
"""ACRV1__chr11""",0,0,0,0,0
"""ACR__chr22""",0,0,0,0,0
"""ACSF2__chr17""",0,0,0,0,0
"""ACSF3__chr16""",0,1.0019582262109,0,0,0
"""ACSL1__chr4""",1.0019582262109,1.0019582262109,2.00785343002263,3.01771667252281,1.0019582262109
"""ACSL3__chr2""",4.03157938384363,5.04947336903132,3.01771667252281,1.0019582262109,1.0019582262109
"""ACSL4__chrX""",1.0019582262109,4.03157938384363,1.0019582262109,1.0019582262109,0
"""ACSL5__chr10""",0,0,0,0,7.09748429180284
"""ACSL6__chr5""",1.0019582262109,0,2.00785343002263,1.0019582262109,0
"""ACSM1__chr16""",0,0,0,1.0019582262109,0
"""ACSM2B__chr16""",0,0,0,0,0
"""ACSM3__chr16""",0,0,0,0,0
"""ACSM4__chr12""",0,0,0,0,0
"""ACSM5__chr16""",0,0,0,0,0
"""ACSS1__chr20""",1.0019582262109,0,0,0,0
"""ACSS2__chr20""",1.0019582262109,1.0019582262109,1.0019582262109,1.0019582262109,3.01771667252281
"""ACSS3__chr12""",0,0,0,0,0
"""ACTA1__chr1""",0,0,0,0,0
"""ACTA2__chr10""",0,0,0,0,0
"""ACTBL2__chr5""",0,0,0,0,0
"""ACTB__chr7""",11.2433238873179,36.4800160274645,16.5218614112182,15.4574108131603,64.4793906572979
"""ACTC1__chr15""",0,0,0,0,0
"""ACTG1P4__chr1""",0,0,0,0,0
"""ACTG1__chr17""",8.12766676853256,43.4941534196218,19.7420296561744,14.3973678906563,36.4800160274645
"""ACTG2__chr2""",0,0,0,0,0
"""ACTL10__chr20""",0,0,0,0,0
"""ACTL6A__chr3""",0,3.01771667252281,0,1.0019582262109,0
"""ACTL6B__chr7""",0,0,0,1.0019582262109,0
"""ACTN1__chr14""",3.01771667252281,9.16201161000583,1.0019582262109,13.3416962915876,0
"""ACTN2__chr1""",0,0,0,0,0
"""ACTN3__chr11""",0,0,0,0,0
"""ACTN4__chr19""",0,2.00785343002263,3.01771667252281,6.07143081403291,9.16201161000583
"""ACTR10__chr14""",12.2903601117083,8.12766676853256,5.04947336903132,3.01771667252281,1.0019582262109
"""ACTR1A__chr10""",0,5.04947336903132,0,0,2.00785343002263
"""ACTR1B__chr2""",0,2.00785343002263,1.0019582262109,1.0019582262109,0
"""ACTR2__chr2""",7.09748429180284,16.5218614112182,6.07143081403291,11.2433238873179,5.04947336903132
"""ACTR3BP2__chr2""",0,0,0,0,0
"""ACTR3BP5__chr10""",0,0,0,0,0
"""ACTR3B__chr7""",0,0,0,0,0
"""ACTR3C__chr7""",0,0,0,0,0
"""ACTR3__chr2""",2.00785343002263,5.04947336903132,4.03157938384363,2.00785343002263,2.00785343002263
"""ACTR5__chr20""",0,0,0,1.0019582262109,0
"""ACTR6__chr12""",0,0,0,1.0019582262109,0
"""ACTR8__chr3""",1.0019582262109,3.01771667252281,0,0,0
"""ACTRT3__chr3""",0,0,0,0,0
"""ACVR1B__chr12""",0,0,2.00785343002263,5.04947336903132,0
"""ACVR1C__chr2""",7.09748429180284,0,0,2.00785343002263,0
"""ACVR1__chr2""",0,1.0019582262109,1.0019582262109,2.00785343002263,0
"""ACVR2A__chr2""",0,0,0,0,1.0019582262109
"""ACVR2B-AS1__chr3""",0,0,0,0,0
"""ACVR2B__chr3""",0,0,0,1.0019582262109,0
"""ACVRL1__chr12""",0,24.0995816739486,0,0,0
"""ACY3__chr11""",0,0,0,0,0
"""ACYP1__chr14""",4.03157938384363,0,0,2.00785343002263,0
"""ACYP2__chr2""",0,1.0019582262109,1.0019582262109,1.0019582262109,0
"""ADAL__chr15""",0,0,0,0,0
"""ADAM10__chr15""",0,1.0019582262109,0,0,0
"""ADAM11__chr17""",0,0,0,0,0
"""ADAM12__chr10""",0,0,0,0,0
"""ADAM15__chr1""",0,2.00785343002263,0,0,1.0019582262109
"""ADAM17__chr2""",0,2.00785343002263,0,0,0
"""ADAM18__chr8""",0,0,0,0,0
"""ADAM19__chr5""",0,0,0,0,0
"""ADAM1A__chr12""",0,0,0,0,0
"""ADAM20P1__chr14""",0,0,0,0,0
"""ADAM20__chr14""",0,0,0,0,0
"""ADAM21__chr14""",0,0,0,0,0
"""ADAM22__chr7""",0,0,0,0,0
"""ADAM23__chr2""",0,0,0,0,0
"""ADAM28__chr8""",0,0,0,0,3.01771667252281
"""ADAM29__chr4""",0,0,0,0,0
"""ADAM32__chr8""",0,0,0,0,0
"""ADAM33__chr20""",0,0,0,0,0
"""ADAM3A__chr8""",0,0,0,0,0
"""ADAM5__chr8""",0,0,0,0,0
"""ADAM6__chr14""",0,0,0,0,0
"""ADAM8__chr10""",0,0,0,1.0019582262109,0
"""ADAM9__chr8""",0,3.01771667252281,0,0,6.07143081403291
"""ADAMDEC1__chr8""",0,0,0,0,0
"""ADAMTS10__chr19""",0,0,0,0,0
"""ADAMTS12__chr5""",0,0,0,0,0
"""ADAMTS13__chr9""",0,0,0,0,0
"""ADAMTS14__chr10""",0,0,0,0,0
"""ADAMTS15__chr11""",0,0,0,0,0
"""ADAMTS16__chr5""",0,0,0,0,0
"""ADAMTS17__chr15""",0,0,0,0,0
"""ADAMTS18__chr16""",0,0,0,0,0
"""ADAMTS19__chr5""",0,0,0,0,0
"""ADAMTS1__chr21""",0,1.0019582262109,0,0,0
"""ADAMTS2__chr5""",0,0,0,3.01771667252281,0
"""ADAMTS3__chr4""",0,0,0,0,0
"""ADAMTS4__chr1""",0,35.3294522929776,0,0,0
"""ADAMTS5__chr21""",0,0,0,0,0
"""ADAMTS6__chr5""",0,0,0,0,0
"""ADAMTS7__chr15""",0,1.0019582262109,0,0,0
"""ADAMTS8__chr11""",0,0,0,0,0
"""ADAMTS9-AS2__chr3""",0,0,0,0,0
"""ADAMTS9__chr3""",0,35.3294522929776,0,0,0
"""ADAMTSL1__chr9""",0,0,0,0,0
"""ADAMTSL2__chr9""",0,0,0,1.0019582262109,0
"""ADAMTSL3__chr15""",0,0,0,0,0
"""ADAMTSL4__chr1""",0,0,0,0,0
"""ADAMTSL5__chr19""",0,0,0,0,0
"""ADAP1__chr7""",0,0,0,0,0
"""ADAP2__chr17""",0,0,0,0,0
"""ADARB1__chr21""",0,6.07143081403291,0,0,0
"""ADARB2__chr10""",0,0,0,0,0
"""ADAR__chr1""",0,3.01771667252281,6.07143081403291,14.3973678906563,6.07143081403291
"""ADAT1__chr16""",3.01771667252281,3.01771667252281,3.01771667252281,4.03157938384363,1.0019582262109
"""ADAT2__chr6""",0,0,0,0,0
"""ADAT3__chr19""",0,0,0,0,0
"""ADA__chr20""",0,2.00785343002263,0,0,0
"""ADCK1__chr14""",0,0,0,1.0019582262109,0
"""ADCK2__chr7""",1.0019582262109,0,0,2.00785343002263,0
"""ADCK3__chr1""",3.01771667252281,0,0,1.0019582262109,0
"""ADCK4__chr19""",0,0,0,3.01771667252281,0
"""ADCK5__chr8""",0,0,0,0,0
"""ADCY10P1__chr6""",0,0,0,0,0
"""ADCY10__chr1""",0,0,0,0,0
"""ADCY1__chr7""",7.09748429180284,0,0,0,0
"""ADCY2__chr5""",0,0,1.0019582262109,0,0
"""ADCY3__chr2""",0,0,0,0,0
"""ADCY4__chr14""",0,3.01771667252281,0,0,0
"""ADCY5__chr3""",0,0,2.00785343002263,0,0
"""ADCY6__chr12""",1.0019582262109,0,0,1.0019582262109,2.00785343002263
"""ADCY7__chr16""",1.0019582262109,0,0,0,0
"""ADCY8__chr8""",0,0,0,0,0
"""ADCY9__chr16""",1.0019582262109,0,1.0019582262109,0,0
"""ADCYAP1R1__chr7""",0,0,0,0,0
"""ADCYAP1__chr18""",0,0,0,20.8244837002118,1.0019582262109
"""ADC__chr1""",0,0,0,0,0
"""ADD1__chr4""",3.01771667252281,2.00785343002263,4.03157938384363,6.07143081403291,3.01771667252281
"""ADD2__chr2""",0,0,0,0,0
"""ADD3__chr10""",4.03157938384363,4.03157938384363,1.0019582262109,2.00785343002263,13.3416962915876
"""ADGB__chr6""",1.0019582262109,0,0,0,0
"""ADH1A__chr4""",0,0,0,0,0
"""ADH1B__chr4""",0,0,0,0,0
"""ADH1C__chr4""",1.0019582262109,0,0,0,0
"""ADH4__chr4""",0,0,0,0,0
"""ADH5__chr4""",1.0019582262109,4.03157938384363,5.04947336903132,4.03157938384363,5.04947336903132
"""ADH6__chr4""",0,0,0,0,0
"""ADHFE1__chr8""",1.0019582262109,0,1.0019582262109,3.01771667252281,0
"""ADI1__chr2""",1.0019582262109,6.07143081403291,0,0,1.0019582262109
"""ADIPOQ-AS1__chr3""",0,0,0,0,0
"""ADIPOQ__chr3""",0,0,0,0,0
"""ADIPOR1__chr1""",3.01771667252281,6.07143081403291,4.03157938384363,11.2433238873179,1.0019582262109
"""ADIPOR2__chr12""",0,3.01771667252281,3.01771667252281,1.0019582262109,1.0019582262109
"""ADK__chr10""",0,1.0019582262109,1.0019582262109,1.0019582262109,0
"""ADM2__chr22""",0,0,0,0,0
"""ADM5__chr19""",0,1.0019582262109,0,0,0
"""ADM__chr11""",0,0,0,3.01771667252281,0
"""ADNP2__chr18""",2.00785343002263,1.0019582262109,0,0,0
"""ADNP__chr20""",3.01771667252281,2.00785343002263,1.0019582262109,3.01771667252281,2.00785343002263
"""ADORA1__chr1""",0,0,0,0,0
"""ADORA2A-AS1__chr22""",0,0,0,0,0
"""ADORA2A__chr22""",0,0,0,0,0
"""ADORA2B__chr17""",0,0,0,1.0019582262109,0
"""ADORA3__chr1""",0,0,0,0,0
"""ADO__chr10""",0,1.0019582262109,0,0,0
"""ADPGK-AS1__chr15""",0,0,0,0,0
"""ADPGK__chr15""",0,0,0,0,1.0019582262109
"""ADPRHL1__chr13""",0,0,0,0,0
"""ADPRHL2__chr1""",1.0019582262109,0,0,1.0019582262109,0
"""ADPRH__chr3""",0,1.0019582262109,0,0,0
"""ADPRM__chr17""",2.00785343002263,1.0019582262109,0,0,0
"""ADRA1A__chr8""",0,0,0,0,0
"""ADRA1B__chr5""",0,0,0,0,0
"""ADRA1D__chr20""",0,0,0,0,0
"""ADRA2A__chr10""",0,0,1.0019582262109,0,0
"""ADRA2B__chr2""",0,0,0,0,0
"""ADRA2C__chr4""",0,0,0,0,0
"""ADRB1__chr10""",0,0,0,0,0
"""ADRB2__chr5""",0,0,0,0,0
"""ADRBK1__chr11""",1.0019582262109,2.00785343002263,2.00785343002263,1.0019582262109,1.0019582262109
"""ADRBK2__chr22""",6.07143081403291,2.00785343002263,1.0019582262109,4.03157938384363,1.0019582262109
"""ADRM1__chr20""",0,1.0019582262109,1.0019582262109,2.00785343002263,0
"""ADSL__chr22""",2.00785343002263,2.00785343002263,0,0,0
"""ADSSL1__chr14""",0,0,0,0,0
"""ADSS__chr1""",0,4.03157938384363,2.00785343002263,6.07143081403291,0
"""ADTRP__chr6""",0,0,0,0,0
"""AEBP1__chr7""",0,1.0019582262109,0,0,0
"""AEBP2__chr12""",0,0,0,1.0019582262109,0
"""AEN__chr15""",0,1.0019582262109,0,0,0
"""AES__chr19""",1.0019582262109,3.01771667252281,2.00785343002263,4.03157938384363,1.0019582262109
"""AFAP1-AS1__chr4""",0,0,0,0,0
"""AFAP1L1__chr5""",0,3.01771667252281,0,0,0
"""AFAP1L2__chr10""",0,0,0,0,0
"""AFAP1__chr4""",0,7.09748429180284,0,2.00785343002263,1.0019582262109
"""AFF1__chr4""",1.0019582262109,4.03157938384363,3.01771667252281,3.01771667252281,1.0019582262109
"""AFF2__chrX""",0,0,0,0,0
"""AFF3__chr2""",0,0,0,0,0
"""AFF4__chr5""",1.0019582262109,2.00785343002263,7.09748429180284,14.3973678906563,1.0019582262109
"""AFG3L1P__chr16""",1.0019582262109,2.00785343002263,1.0019582262109,0,0
"""AFG3L2__chr18""",3.01771667252281,3.01771667252281,1.0019582262109,0,2.00785343002263
"""AFMID__chr17""",0,1.0019582262109,0,0,0
"""AFM__chr4""",0,0,0,0,0
"""AFP__chr4""",0,0,0,0,0
"""AFTPH__chr2""",3.01771667252281,5.04947336903132,5.04947336903132,8.12766676853256,6.07143081403291
"""AGAP11__chr10""",0,0,0,0,0
"""AGAP1__chr2""",2.00785343002263,2.00785343002263,1.0019582262109,2.00785343002263,1.0019582262109
"""AGAP2__chr12""",0,0,0,0,0
"""AGAP3__chr7""",1.0019582262109,0,0,1.0019582262109,1.0019582262109
"""AGAP4__chr10""",0,0,0,0,0
"""AGAP5__chr10""",0,0,0,0,0
"""AGAP6__chr10""",1.0019582262109,1.0019582262109,0,1.0019582262109,0
"""AGAP7__chr10""",0,0,0,0,0
"""AGAP8__chr10""",0,0,0,0,0
"""AGAP9__chr10""",0,0,0,0,0
"""AGA__chr4""",0,0,0,0,2.00785343002263
"""AGBL1__chr15""",0,0,0,0,0
"""AGBL2__chr11""",0,0,0,0,0
"""AGBL3__chr7""",0,0,0,0,0
"""AGBL4__chr1""",1.0019582262109,0,0,0,0
"""AGBL5__chr2""",0,0,0,0,0
"""AGER__chr6""",0,0,0,0,0
"""AGFG1__chr2""",2.00785343002263,4.03157938384363,2.00785343002263,7.09748429180284,2.00785343002263
"""AGFG2__chr7""",0,0,1.0019582262109,0,1.0019582262109
"""AGGF1__chr5""",1.0019582262109,0,1.0019582262109,1.0019582262109,0
"""AGK__chr7""",0,1.0019582262109,0,2.00785343002263,0
"""AGL__chr1""",0,0,0,11.2433238873179,3.01771667252281
"""AGMAT__chr1""",0,0,0,0,1.0019582262109
"""AGMO__chr7""",0,0,0,0,0
"""AGPAT1__chr6""",0,1.0019582262109,1.0019582262109,4.03157938384363,1.0019582262109
"""AGPAT2__chr9""",2.00785343002263,0,0,5.04947336903132,1.0019582262109
"""AGPAT3__chr21""",1.0019582262109,4.03157938384363,1.0019582262109,2.00785343002263,1.0019582262109
"""AGPAT4-IT1__chr6""",0,0,0,1.0019582262109,0
"""AGPAT4__chr6""",0,0,0,3.01771667252281,0
"""AGPAT5__chr8""",1.0019582262109,2.00785343002263,0,10.2005525880831,0
"""AGPAT6__chr8""",0,0,1.0019582262109,1.0019582262109,2.00785343002263
"""AGPAT9__chr4""",1.0019582262109,0,0,0,0
"""AGPHD1__chr15""",0,0,0,0,0
"""AGPS__chr2""",0,1.0019582262109,0,1.0019582262109,0
"""AGR2__chr7""",0,0,0,0,5.04947336903132
"""AGR3__chr7""",0,0,0,0,2.00785343002263
"""AGRN__chr1""",0,0,0,0,2.00785343002263
"""AGSK1__chr15""",0,0,0,0,0
"""AGTPBP1__chr9""",0,0,0,0,0
"""AGTR1__chr3""",0,0,1.0019582262109,0,0
"""AGTR2__chrX""",0,0,0,0,0
"""AGTRAP__chr1""",0,0,0,0,0
"""AGT__chr1""",0,0,0,0,0
"""AGXT2L1__chr4""",0,0,0,0,0
"""AGXT2L2__chr5""",0,0,0,1.0019582262109,2.00785343002263
"""AHCTF1__chr1""",2.00785343002263,3.01771667252281,10.2005525880831,12.2903601117083,1.0019582262109
"""AHCYL1__chr1""",3.01771667252281,5.04947336903132,9.16201161000583,13.3416962915876,7.09748429180284
"""AHCYL2__chr7""",0,0,0,3.01771667252281,0
"""AHCY__chr20""",2.00785343002263,3.01771667252281,0,0,1.0019582262109
"""AHDC1__chr1""",0,0,0,1.0019582262109,2.00785343002263
"""AHI1__chr6""",8.12766676853256,3.01771667252281,6.07143081403291,10.2005525880831,1.0019582262109
"""AHNAK2__chr14""",0,0,0,2.00785343002263,0
"""AHNAK__chr11""",0,0,1.0019582262109,0,9.16201161000583
"""AHRR__chr5""",0,2.00785343002263,0,0,0
"""AHR__chr7""",0,11.2433238873179,0,2.00785343002263,5.04947336903132
"""AHSA1__chr14""",3.01771667252281,2.00785343002263,1.0019582262109,2.00785343002263,0
"""AHSA2__chr2""",2.00785343002263,0,2.00785343002263,1.0019582262109,0
"""AHSP__chr16""",0,0,0,0,0
"""AICDA__chr12""",0,1.0019582262109,0,0,0
"""AIDA__chr1""",3.01771667252281,7.09748429180284,0,3.01771667252281,2.00785343002263
"""AIF1L__chr9""",0,0,0,0,0
"""AIF1__chr6""",0,0,0,0,0
"""AIFM1__chrX""",0,0,3.01771667252281,3.01771667252281,1.0019582262109
"""AIFM2__chr10""",0,0,0,0,1.0019582262109
"""AIFM3__chr22""",0,0,0,0,0
"""AIG1__chr6""",0,0,4.03157938384363,2.00785343002263,0
"""AIM1L__chr1""",0,0,0,0,0
"""AIM1__chr6""",0,0,0,0,0
"""AIMP1__chr4""",4.03157938384363,1.0019582262109,1.0019582262109,5.04947336903132,0
"""AIMP2__chr7""",0,0,0,0,0
"""AIPL1__chr17""",0,0,0,0,1.0019582262109
"""AIP__chr11""",0,0,0,0,0
"""AIRE__chr21""",0,0,0,0,0
"""AIRN__chr6""",0,0,0,0,0
"""AJAP1__chr1""",0,0,0,0,0
"""AJUBA__chr14""",0,0,0,0,2.00785343002263
"""AK1__chr9""",2.00785343002263,1.0019582262109,0,1.0019582262109,1.0019582262109
"""AK2__chr1""",6.07143081403291,3.01771667252281,2.00785343002263,2.00785343002263,2.00785343002263
"""AK3__chr9""",0,2.00785343002263,5.04947336903132,7.09748429180284,4.03157938384363
"""AK4__chr1""",0,0,0,0,0
